Startup_name,Category,Funding_total_usd,Status,State_code,City,Funding_rounds,Founded_at,Founded_month,Founded_quarter,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Age_first_funding_year,Age_last_funding_year
#waywire,social_media," 17,50,000 ",1,NY,New York,1,2012/6/1,6,2012-Q2,0,0,0,0,0,0,0,0
1000memories,web," 25,35,000 ",1,CA,San Francisco,2,2010/7/1,7,2010-Q3,1,0,1,0,0,0,0,1
100Plus,analytics," 12,50,000 ",1,CA,San Francisco,2,2011/9/16,9,2011-Q3,1,0,0,0,0,0,0,0
1010data,hardware&software," 3,50,00,000 ",1,NY,New York,1,2000/1/1,1,2000-Q1,1,0,0,0,0,0,10,10
15Five,hardware&software," 34,00,000 ",1,CA,San Francisco,3,2011/5/1,5,2011-Q2,0,1,0,0,0,0,1,3
16 Mile Solutions,hardware&software," 1,99,957 ",1,WA,Seattle,1,2006/1/1,1,2006-Q1,1,0,0,0,0,0,3,3
1Energy Systems,hardware&software," 14,50,000 ",1,WA,Seattle,1,2010/1/1,1,2010-Q1,1,0,0,0,0,0,3,3
1Life Healthcare,health&medical," 3,00,00,000 ",1,CA,San Francisco,1,2002/1/1,1,2002-Q1,1,0,0,0,0,0,11,11
1stdibs,e-commerce," 11,70,00,000 ",1,NY,New York,4,2001/1/1,1,2001-Q1,1,0,0,0,1,0,10,13
1World Online,hardware&software," 15,00,000 ",1,CA,San Jose,2,2011/12/1,12,2011-Q4,1,0,1,0,0,0,2,2
20x200,art&music," 28,00,000 ",1,NY,New York,2,2007/9/1,9,2007-Q3,1,0,1,0,0,0,2,3
23andMe,biotechnology," 11,19,49,900 ",1,CA,Mountain View,6,2006/4/1,4,2006-Q2,1,0,1,1,1,1,1,8
28msec,hardware&software," 58,44,811 ",1,CA,Palo Alto,1,2008/1/1,1,2008-Q1,1,0,0,0,0,0,5,5
3-V Biosciences,biotechnology," 7,80,89,000 ",1,CA,Menlo Park,4,2007/3/1,3,2007-Q1,1,0,0,1,1,0,2,6
33Across,advertising," 2,56,54,560 ",1,NY,New York,5,2007/9/1,9,2007-Q3,1,0,1,1,1,0,2,5
3D Control Systems,hardware&software,"28,000",1,CA,San Francisco,1,2013/3/1,3,2013-Q1,0,0,0,0,0,0,0,0
3FLOZ,health&medical," 7,50,000 ",1,NY,New York,1,2009/11/1,11,2009-Q4,0,0,0,0,0,0,4,4
3Guppies,art&music," 2,00,00,000 ",1,WA,Seattle,1,2003/1/1,1,2003-Q1,1,0,1,0,0,0,3,3
3Jam,hardware&software," 40,00,000 ",1,CA,San Francisco,1,2005/1/1,1,2005-Q1,1,0,1,0,0,0,2,2
3Leaf,web," 6,50,00,000 ",1,CA,Santa Clara,3,2004/6/1,6,2004-Q2,1,0,1,1,1,0,1,4
3Play Media,hardware&software," 10,11,601 ",1,MA,Cambridge,3,2007/1/1,1,2007-Q1,1,0,0,0,0,0,3,4
3Scan,biotechnology," 3,90,000 ",1,CA,San Francisco,3,2011/1/1,1,2011-Q1,0,0,0,0,0,0,0,2
3seventy,hardware&software," 20,00,000 ",1,TX,Austin,1,2008/1/1,1,2008-Q1,0,0,0,0,0,0,3,3
3TEN8,hardware&software," 10,00,000 ",1,CA,Santa Clara,1,2013/8/15,8,2013-Q3,0,0,0,0,0,0,1,1
3VR,security," 5,65,67,194 ",1,CA,San Francisco,6,2002/1/1,1,2002-Q1,1,0,1,1,1,1,4,11
41st Parameter,security," 3,80,64,570 ",1,CA,San Jose,4,2004/1/1,1,2004-Q1,1,0,0,1,1,1,2,8
42,hardware&software," 8,00,000 ",1,CA,San Francisco,2,2013/1/1,1,2013-Q1,0,0,0,0,0,0,0,1
42Floors,finance," 1,74,00,000 ",1,CA,San Francisco,4,2011/1/1,1,2011-Q1,1,0,1,1,0,0,0,2
4INFO,advertising," 7,02,88,000 ",1,CA,San Mateo,8,2004/1/1,1,2004-Q1,1,0,0,0,1,1,1,10
5 O'Clock Records,hardware&software," 4,40,000 ",1,NY,New York,2,2012/1/1,1,2012-Q1,0,1,0,0,0,0,0,1
5min Media,social_media," 1,28,00,000 ",1,NY,New York,3,2007/1/1,1,2007-Q1,1,1,1,1,0,0,0,2
5th Finger,mobile," 70,00,000 ",1,CA,San Francisco,1,2008/1/1,1,2008-Q1,1,0,1,0,0,0,0,0
64 Pixels,web," 1,00,000 ",1,CA,Mountain View,1,2010/10/1,10,2010-Q4,0,1,0,0,0,0,0,0
6connect,web," 20,00,000 ",1,CA,San Francisco,1,2009/1/1,1,2009-Q1,1,0,1,0,0,0,2,2
6Sense,analytics," 1,20,00,000 ",1,CA,San Francisco,2,2013/1/1,1,2013-Q1,1,0,1,0,0,0,0,1
7 Billion People,e-commerce," 65,28,902 ",0,TX,Austin,3,2006/1/1,1,2006-Q1,1,0,0,0,0,0,3,6
7mb Technologies,hardware&software," 4,60,775 ",1,WA,Seattle,2,2013/1/1,1,2013-Q1,1,0,0,0,0,0,0,1
8tracks Radio,art&music," 27,79,980 ",1,CA,San Francisco,2,2008/8/8,8,2008-Q3,1,0,0,0,0,0,4,6
9Mile Labs,hardware&software," 9,00,000 ",1,WA,Seattle,1,2013/1/1,1,2013-Q1,0,0,0,0,0,0,0,0
9Star Research,hardware&software," 4,35,400 ",1,TX,Austin,1,2002/1/1,1,2002-Q1,0,0,0,0,0,0,9,9
A10 Networks,hardware&software," 11,80,00,000 ",1,CA,San Jose,4,2004/10/1,10,2004-Q4,1,0,1,1,1,0,1,9
Abacus Labs,hardware&software," 35,00,000 ",1,NY,New York,1,2013/1/1,1,2013-Q1,0,0,0,0,0,0,1,1
AbbeyPost,e-commerce," 8,75,000 ",1,NY,New York,5,2012/8/1,8,2012-Q3,0,0,0,0,0,0,1,2
Abigail Stewart,fashion,"60,000",1,NY,New York,1,2010/1/15,1,2010-Q1,0,0,0,0,0,0,4,4
AbilTo,health&medical," 90,00,000 ",1,NY,New York,2,2008/1/1,1,2008-Q1,1,0,1,1,0,0,5,6
AbleSky,hardware&software," 12,73,000 ",1,CA,Mountain View,1,2007/1/1,1,2007-Q1,1,0,0,0,0,0,4,4
AcademixDirect,advertising," 1,00,00,000 ",1,CA,Mountain View,1,2004/1/1,1,2004-Q1,1,0,1,0,0,0,5,5
Accelalox,biotechnology," 4,30,000 ",1,CA,Menlo Park,1,2005/1/1,1,2005-Q1,0,0,0,0,0,0,4,4
Accelerize New Media,hardware&software," 40,45,500 ",1,CA,Los Angeles,3,2005/1/1,1,2005-Q1,1,0,0,0,0,0,5,9
Acceleron Pharma,biotechnology," 11,37,01,127 ",1,MA,Cambridge,6,2004/1/1,1,2004-Q1,1,0,0,1,1,0,2,7
AccelGolf,finance," 4,57,282 ",0,MA,Cambridge,7,2008/8/1,8,2008-Q3,1,0,0,0,0,0,0,1
Accellion,hardware&software," 1,34,10,901 ",1,CA,Palo Alto,2,1999/1/1,1,1999-Q1,1,0,0,0,1,0,13,13
Access Closure,health&medical," 1,37,93,098 ",1,CA,Mountain View,3,2002/1/1,1,2002-Q1,1,0,0,0,0,0,8,10
Access Network,advertising," 32,00,000 ",1,NY,New York,2,2008/1/1,1,2008-Q1,1,0,1,0,0,0,2,3
Access Scientific,health&medical," 2,13,76,001 ",1,CA,San Diego,6,2004/1/1,1,2004-Q1,1,0,0,0,0,0,5,8
ACCO Semiconductor,semiconductors," 3,33,31,814 ",1,CA,Sunnyvale,3,1994/1/1,1,1994-Q1,1,0,0,0,1,1,16,20
Accumetrics,biotechnology," 11,06,40,466 ",1,CA,San Diego,9,1996/1/1,1,1996-Q1,1,0,0,1,1,1,7,17
Acesis,hardware&software," 36,38,201 ",1,CA,Mountain View,1,2006/1/1,1,2006-Q1,1,0,0,0,0,0,4,4
Aceva Technologies,hardware&software," 52,80,000 ",1,CA,San Mateo,1,1999/1/1,1,1999-Q1,1,0,0,0,0,1,6,6
Achronix Semiconductor,semiconductors," 13,57,76,263 ",1,CA,Santa Clara,5,2004/1/1,1,2004-Q1,1,0,1,1,1,0,3,9
Acoustic Technologies,hardware&software," 79,74,296 ",1,TX,Austin,1,1998/1/1,1,1998-Q1,1,0,0,0,0,0,15,15
Acquaintable,web,"40,000",1,NY,New York,1,2012/1/1,1,2012-Q1,0,0,0,0,0,0,1,1
ACT Biotech,biotechnology," 2,69,80,000 ",1,CA,San Francisco,6,2008/1/1,1,2008-Q1,1,0,1,0,0,0,0,2
Actinium Pharmaceuticals,biotechnology," 70,00,720 ",1,NY,New York,2,2000/1/1,1,2000-Q1,1,0,0,0,0,0,11,14
ActionRun,hardware&software," 15,10,005 ",1,CA,Mountain View,1,2008/1/1,1,2008-Q1,1,0,0,0,0,0,3,3
ActionX,mobile," 60,00,000 ",1,NY,New York,2,2012/1/1,1,2012-Q1,1,0,1,0,0,0,0,1
Activation Media,games," 7,05,000 ",1,NY,New York,2,2010/1/1,1,2010-Q1,0,0,0,0,0,0,1,4
ActivePath,finance," 1,32,50,001 ",1,NY,New York,2,2007/1/1,1,2007-Q1,1,0,0,1,0,0,4,5
ActiveRain,finance," 27,50,000 ",1,WA,Seattle,1,2006/6/1,6,2006-Q2,1,0,0,0,0,0,2,2
ActX,biotechnology," 26,70,394 ",1,WA,Seattle,2,2012/1/1,1,2012-Q1,1,0,0,0,0,0,2,2
Acucela,biotechnology," 4,39,603 ",1,WA,Seattle,1,2002/1/1,1,2002-Q1,1,0,0,0,0,0,7,7
Acupera,health&medical," 60,00,000 ",1,CA,San Francisco,3,2011/8/1,8,2011-Q3,1,0,1,0,0,0,0,3
Acutus Medical,biotechnology," 6,31,76,464 ",1,CA,San Diego,5,2011/1/1,1,2011-Q1,1,0,0,1,0,0,0,3
Acylin Therapeutics,biotechnology," 64,00,000 ",1,WA,Seattle,2,2009/1/1,1,2009-Q1,1,0,1,0,0,0,2,3
Ad Hoc Labs,mobile," 20,00,000 ",1,CA,Los Angeles,2,2012/8/1,8,2012-Q3,1,0,1,0,0,0,0,1
Ad Infuse,mobile," 1,76,00,000 ",1,CA,San Francisco,3,2005/11/1,11,2005-Q4,1,0,1,1,0,0,0,3
Ad Summos,advertising," 45,49,999 ",1,NY,New York,2,2010/1/1,1,2010-Q1,1,0,0,0,0,0,0,1
Adallom,security," 1,95,00,000 ",1,CA,Menlo Park,2,2012/1/1,1,2012-Q1,1,0,1,1,0,0,0,2
Adamis Pharmaceuticals,biotechnology," 1,63,77,078 ",1,CA,San Diego,5,2006/1/1,1,2006-Q1,1,0,1,0,0,0,6,8
Adaptive Digital Power,semiconductors," 40,00,000 ",1,CA,San Jose,1,2007/1/1,1,2007-Q1,1,0,0,1,0,0,3,3
Adaptive Planning,hardware&software," 8,45,00,000 ",1,CA,Mountain View,4,2003/4/1,4,2003-Q2,1,0,0,0,1,1,4,10
Adaptive TCR,biotechnology," 1,03,50,000 ",0,WA,Seattle,2,2009/1/1,1,2009-Q1,1,0,1,1,0,0,1,2
AdaptiveBlue,web," 2,40,20,000 ",1,NY,New York,4,2007/1/1,1,2007-Q1,1,0,1,1,0,0,0,5
Adaptly,advertising," 1,32,00,000 ",1,NY,New York,4,2010/4/14,4,2010-Q2,1,0,1,1,0,0,0,2
Adcade,advertising," 65,00,000 ",1,NY,New York,2,2011/12/1,12,2011-Q4,1,0,1,0,0,0,1,2
Addapp,hardware&software," 18,00,000 ",1,CA,San Francisco,1,2014/4/3,4,2014-Q2,0,0,0,0,0,0,0,0
Addoway,web," 1,10,000 ",1,CA,San Francisco,1,2010/4/1,4,2010-Q2,0,0,0,0,0,0,0,0
Addvocate,hardware&software," 27,29,000 ",1,CA,San Francisco,2,2012/5/1,5,2012-Q2,1,0,1,0,0,0,1,1
Addy,mobile," 3,00,000 ",1,CA,San Francisco,2,2012/5/1,5,2012-Q2,0,1,0,0,0,0,1,2
aDealio,e-commerce," 15,00,000 ",1,TX,Austin,2,2010/4/1,4,2010-Q2,1,1,0,0,0,0,1,1
Adept Cloud,hardware&software," 10,15,000 ",1,CA,San Mateo,2,2011/6/1,6,2011-Q2,1,0,1,0,0,0,1,1
Adesto Technologies,semiconductors," 4,39,81,909 ",1,CA,Sunnyvale,6,2006/1/1,1,2006-Q1,1,0,0,0,1,1,3,7
Adeze,advertising," 55,00,000 ",1,CA,San Francisco,2,2005/1/1,1,2005-Q1,1,0,0,1,1,0,1,3
AdGrok,advertising," 4,70,000 ",1,CA,San Francisco,2,2010/5/1,5,2010-Q2,0,1,0,0,0,0,0,1
AdhereTech,health&medical," 23,50,000 ",1,NY,New York,2,2011/10/1,10,2011-Q4,1,0,1,0,0,0,0,3
adhoclabs,mobile," 20,00,000 ",1,CA,Los Angeles,1,2012/1/1,1,2012-Q1,1,0,0,0,0,0,1,1
Adinch Inc,mobile," 40,00,000 ",1,CA,San Francisco,2,2012/6/5,6,2012-Q2,1,0,1,0,0,0,1,2
Adioso,travel," 3,55,000 ",1,CA,San Francisco,3,2008/1/1,1,2008-Q1,0,0,0,0,0,0,1,2
Aditive,advertising," 33,01,958 ",1,CA,San Francisco,1,2010/1/1,1,2010-Q1,0,0,0,0,0,0,2,2
adjust,mobile," 1,19,00,000 ",1,CA,San Francisco,3,2012/4/3,4,2012-Q2,1,0,0,1,1,0,0,2
AdKeeper,advertising," 4,30,00,000 ",1,NY,New York,2,2010/1/1,1,2010-Q1,1,0,1,1,0,0,0,1
Adku,hardware&software," 15,40,000 ",1,CA,San Francisco,3,2010/8/1,8,2010-Q3,0,0,0,0,0,0,0,1
Admittance Technologies,health&medical," 19,90,000 ",1,TX,Austin,1,2010/1/1,1,2010-Q1,1,0,0,0,0,0,3,3
AdMob,advertising," 4,68,00,000 ",1,CA,Mountain View,4,2006/12/1,12,2006-Q4,1,0,1,1,1,0,0,3
AdMobius,advertising," 50,00,000 ",1,CA,San Mateo,1,2011/7/1,7,2011-Q3,1,0,1,0,0,0,1,1
ADOR,social_media," 5,64,64,869 ",1,WA,Seattle,5,2009/2/1,2,2009-Q1,1,0,0,0,1,0,1,4
