,State_code,City,Startup_name,Status,Age_first_funding_year,Age_last_funding_year,Funding_rounds,Funding_total_usd,Category,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Founded_month,Founded_quarter,Founded_at
0,CA,San Diego,Bandsintown,1,2.0,3.0,3,375000,art&music,0,1,0,0,0,0,1,2007-Q1,2007/01/01
1,CA,San Diego,Plixi,1,1.0,1.0,1,2600000,web,0,0,1,0,0,0,3,2009-Q1,2009/03/18
2,CA,San Francisco,Inhale Digital,0,0.0,1.0,2,1300000,games,1,1,0,0,0,0,8,2010-Q3,2010/08/01
3,CA,Mountain View,Matisse Networks,0,4.0,4.0,1,7500000,web,0,0,0,1,0,0,1,2002-Q1,2002/01/01
4,CA,Mountain View,RingCube Technologies,1,1.0,5.0,3,26000000,hardware&software,1,0,1,1,0,0,1,2005-Q1,2005/01/01
5,CA,Palo Alto,Doostang,1,1.0,4.0,3,5750000,web,1,1,1,0,0,0,6,2005-Q2,2005/06/01
6,CA,Menlo Park,Zong,1,4.0,9.0,3,27500000,mobile,0,0,1,1,0,0,11,2000-Q4,2000/11/15
7,CA,Menlo Park,Center'd,0,1.0,5.0,5,10400000,web,1,1,1,0,0,0,1,2006-Q1,2006/01/01
8,NY,New York,SinglePlatform,1,0.0,1.0,3,4575000,web,0,1,1,0,0,0,1,2010-Q1,2010/01/01
9,TX,Austin,Metreos Corporation,1,2.0,3.0,2,4355000,hardware&software,0,1,1,0,0,0,1,2001-Q1,2001/01/01
10,CA,Palo Alto,Neopolitan Networks,0,5.0,5.0,1,3170000,web,0,0,1,0,0,0,1,2002-Q1,2002/01/01
11,CA,Palo Alto,Scalent Systems,1,4.0,4.0,1,15000000,public_relations,0,0,0,0,1,0,1,2003-Q1,2003/01/01
12,TX,Austin,"RetailMeNot, Inc.",1,2.0,4.0,5,299500000,web,1,0,1,0,1,0,5,2007-Q2,2007/05/01
13,WA,Seattle,Lockdown Networks,1,4.0,5.0,2,8600000,public_relations,1,0,0,1,0,0,1,2001-Q1,2001/01/01
14,CA,San Francisco,Karma,1,0.0,0.0,2,2304999,mobile,1,0,0,0,0,0,1,2011-Q1,2011/01/01
15,NY,New York,Entertainment Media Works,0,2.0,2.0,1,4000000,hardware&software,0,0,0,1,0,0,7,2004-Q3,2004/07/01
16,CA,San Francisco,Elastra,0,0.0,1.0,2,14600000,hardware&software,0,0,1,1,0,0,1,2007-Q1,2007/01/01
17,CA,San Jose,RPO,0,1.0,5.0,3,44000000,hardware&software,0,0,0,1,1,0,1,2005-Q1,2005/01/01
18,CA,San Francisco,Fotomoto,1,0.0,2.0,3,1822922,e-commerce,0,1,1,0,0,0,10,2008-Q4,2008/10/01
19,NY,New York,Peer39,1,0.0,5.0,7,29915001,advertising,1,1,1,1,1,0,3,2006-Q1,2006/03/01
20,CA,Menlo Park,PublicEarth,0,0.0,2.0,2,4000000,travel,1,0,1,0,0,0,1,2008-Q1,2008/01/01
21,CA,Sunnyvale,Efficient Frontier,1,4.0,4.0,1,6000000,advertising,0,0,0,0,1,0,1,2002-Q1,2002/01/01
22,CA,Sunnyvale,NetDevices,1,2.0,2.0,1,25000000,hardware&software,0,0,0,1,0,0,1,2003-Q1,2003/01/01
23,NY,New York,Go Try It On,1,0.0,2.0,3,3750000,fashion,0,1,1,0,0,0,12,2009-Q4,2009/12/01
24,MA,Cambridge,Performable,1,0.0,0.0,1,3000000,hardware&software,0,0,1,0,0,0,10,2009-Q4,2009/10/17
25,CA,San Francisco,Appstores.com,1,0.0,1.0,2,1155000,hardware&software,0,1,0,0,0,0,5,2010-Q2,2010/05/24
